>AF381981.1 Homo sapiens haplotype L2 mitochondrion, complete genome: 44.00%
>AF381982.1 Homo sapiens haplotype U31 mitochondrion, complete genome: 44.00%
>AF381983.1 Homo sapiens haplotype U32 mitochondrion, complete genome: 44.00%
>AF381985.1 Homo sapiens haplotype T5 mitochondrion, complete genome: 44.00%
>AF381987.1 Homo sapiens haplotype J1b mitochondrion, complete genome: 44.00%
>AF381988.1 Homo sapiens haplotype L1a mitochondrion, complete genome: 44.00%
>AF381989.1 Homo sapiens haplotype U5 mitochondrion, complete genome: 44.00%
>AF381990.1 Homo sapiens haplotype V mitochondrion, complete genome: 44.00%
>AF381991.1 Homo sapiens haplotype L3b mitochondrion, complete genome: 44.00%
>AF381993.1 Homo sapiens haplotype H1 mitochondrion, complete genome: 44.00%
>AF381995.1 Homo sapiens haplotype U21 mitochondrion, complete genome: 44.00%
>AF381997.1 Homo sapiens haplotype R1 mitochondrion, complete genome: 44.00%
>AF381998.1 Homo sapiens haplotype L3d mitochondrion, complete genome: 44.00%
>AF382000.1 Homo sapiens haplotype U2 mitochondrion, complete genome: 44.00%
>AF382001.1 Homo sapiens haplotype J2 mitochondrion, complete genome: 44.00%
>AF382002.1 Homo sapiens haplotype H2 mitochondrion, complete genome: 44.00%
>AF382004.1 Homo sapiens haplotype U22 mitochondrion, complete genome: 44.00%
>AF382005.1 Homo sapiens haplotype K mitochondrion, complete genome: 44.00%
>AF382006.1 Homo sapiens haplotype T1 mitochondrion, complete genome: 44.00%
>AF382011.1 Homo sapiens haplotype U7 mitochondrion, complete genome: 44.00%
>AF382012.1 Homo sapiens haplotype M*1 mitochondrion, complete genome: 44.00%
>AF382013.1 Homo sapiens haplotype M*2 mitochondrion, complete genome: 44.00%
>BC029840.1 Homo sapiens prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase), mRNA (cDNA clone MGC:34214 IMAGE:5174923), complete cds: 53.00%
>AF381992.2 Homo sapiens haplotype L1c mitochondrion, complete genome: 44.00%
>AF381994.2 Homo sapiens haplotype L1b mitochondrion, complete genome: 44.00%
>AF382009.2 Homo sapiens haplotype C mitochondrion, complete genome: 44.00%
>AY195748.1 Homo sapiens haplotype Na2D mitochondrion, complete genome: 44.00%
>AY195750.1 Homo sapiens haplotype E17V mitochondrion, complete genome: 44.00%
>AY195751.1 Homo sapiens haplotype E2H mitochondrion, complete genome: 44.00%
>AY195757.1 Homo sapiens haplotype E6H mitochondrion, complete genome: 44.00%
>AY195761.1 Homo sapiens haplotype As12Z mitochondrion, complete genome: 44.00%
>AY195764.1 Homo sapiens haplotype E19U mitochondrion, complete genome: 44.00%
>AY195766.1 Homo sapiens haplotype A11L2b mitochondrion, complete genome: 44.00%
>AY195771.1 Homo sapiens haplotype As2A mitochondrion, complete genome: 44.00%
>AY195773.1 Homo sapiens haplotype E18X mitochondrion, complete genome: 44.00%
>AY195777.1 Homo sapiens haplotype A10L1A2 mitochondrion, complete genome: 44.00%
>AY195780.1 Homo sapiens haplotype A2L1 mitochondrion, complete genome: 44.00%
>AY195787.1 Homo sapiens haplotype Na3X mitochondrion, complete genome: 44.00%
>AY289051.1 Homo sapiens isolate Aus13 mitochondrion, complete genome: 44.00%
>AY289052.1 Homo sapiens isolate Aus14 mitochondrion, complete genome: 44.00%
>AY289053.1 Homo sapiens isolate Aus15 mitochondrion, complete genome: 44.00%
>AY289054.1 Homo sapiens isolate Aus16 mitochondrion, complete genome: 44.00%
>AY289055.1 Homo sapiens isolate Aus17 mitochondrion, complete genome: 44.00%
>AY289056.1 Homo sapiens isolate Aus20 mitochondrion, complete genome: 44.00%
>AY289057.1 Homo sapiens isolate Aus21 mitochondrion, complete genome: 44.00%
>AY289058.1 Homo sapiens isolate Aus22 mitochondrion, complete genome: 44.00%
>AY289059.1 Homo sapiens isolate Aus23 mitochondrion, complete genome: 44.00%
>AY289060.1 Homo sapiens isolate B2 mitochondrion, complete genome: 44.00%
>AY289061.1 Homo sapiens isolate B4 mitochondrion, complete genome: 44.00%
>AY289062.1 Homo sapiens isolate B6 mitochondrion, complete genome: 44.00%
>AY289063.1 Homo sapiens isolate E4 mitochondrion, complete genome: 44.00%
>AY289064.1 Homo sapiens isolate E9 mitochondrion, complete genome: 44.00%
>AY289065.1 Homo sapiens isolate F5 mitochondrion, complete genome: 44.00%
>AY289066.1 Homo sapiens isolate Y6 mitochondrion, complete genome: 44.00%
>AY289067.1 Homo sapiens isolate Y7 mitochondrion, complete genome: 44.00%
>AY289068.1 Homo sapiens isolate C1112 mitochondrion, complete genome: 44.00%
>AY289069.1 Homo sapiens isolate C1190 mitochondrion, complete genome: 44.00%
>AY289070.1 Homo sapiens isolate CAM mitochondrion, complete genome: 44.00%
>AY289071.1 Homo sapiens isolate T1331 mitochondrion, complete genome: 44.00%
>AY289072.1 Homo sapiens isolate K11b mitochondrion, complete genome: 44.00%
>AY289073.1 Homo sapiens isolate K4b mitochondrion, complete genome: 44.00%
>AY289074.1 Homo sapiens isolate M306 mitochondrion, complete genome: 44.00%
>AY289075.1 Homo sapiens isolate 961 mitochondrion, complete genome: 44.00%
>AY289076.1 Homo sapiens isolate 100 mitochondrion, complete genome: 44.00%
>AY289077.1 Homo sapiens isolate CP8 mitochondrion, complete genome: 44.00%
>AY289078.1 Homo sapiens isolate GP4 mitochondrion, complete genome: 44.00%
>AY289079.1 Homo sapiens isolate WE16 mitochondrion, complete genome: 44.00%
>AY289080.1 Homo sapiens isolate WE18 mitochondrion, complete genome: 44.00%
>AY289081.1 Homo sapiens isolate WE23 mitochondrion, complete genome: 44.00%
